id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
treatment_529,Therapeutic Dose Topical Steroid: Prednisolone Acetate,Entity,,[4],Medication extracted from treatment lists,,therapeutic dose topical steroid: prednisolone acetate,,"[""Stromal Keratitis Without Epithelial Ulceration""]",,,medication,,
treatment_530,"There Are Several Clues To A Successful Cantholysis. The Eyelid Should Release Completely Away From The Globe. Once The Forceps Are Released, The Lateral Portion Of The Eyelid Margin Should Move Medially, Usually To The Lateral Aspect Of The Limbus Of The Globe. If Any Eyelid Margin Still Remains In Its Normal Position Lateral To The Temporal Limbus, The Cantholysis Is Incomplete: Keep Cutting!",Entity,,[3],Medication extracted from treatment lists,,"there are several clues to a successful cantholysis. the eyelid should release completely away from the globe. once the forceps are released, the lateral portion of the eyelid margin should move medially, usually to the lateral aspect of the limbus of the globe. if any eyelid margin still remains in its normal position lateral to the temporal limbus, the cantholysis is incomplete: keep cutting!",,"[""Canthotomy and Cantholysis""]",,,medication,,
treatment_531,Third Cranial Nerve Palsy: Always Has Associated Ptosis And/Or Extraocular Muscle Palsies. See,Entity,,[10],Medication extracted from treatment lists,,third cranial nerve palsy: always has associated ptosis and/or extraocular muscle palsies. see,,"[""Classification"", ""Unknown""]",,,medication,,
treatment_532,"Those Patients Who Have A Suboptimal Response To These Anti-Vegf Agents Or Require Ongoing, Frequent Anti-Vegf Therapy Can Consider Intravitreal Corticosteroid Therapy With Fda-Approved Dexamethasone Or Long-Acting Fluocinolone Acetonide Injectable Implants. Off-Label Intravitreal Corticosteroid",Entity,,[11],Medication extracted from treatment lists,,"those patients who have a suboptimal response to these anti-vegf agents or require ongoing, frequent anti-vegf therapy can consider intravitreal corticosteroid therapy with fda-approved dexamethasone or long-acting fluocinolone acetonide injectable implants. off-label intravitreal corticosteroid",,"[""Diabetic Macular Edema""]",,,medication,,
treatment_533,"Thygeson Superficial Punctate Keratitis: Bilateral, Recurrent Epithelial Keratitis",Entity,,[4],Medication extracted from treatment lists,,"thygeson superficial punctate keratitis: bilateral, recurrent epithelial keratitis",,"[""Unknown""]",,,medication,,
treatment_534,Thyroid Function Tests,Entity,,[10],Medication extracted from treatment lists,,thyroid function tests,,"[""Work-Up""]",,,medication,,
treatment_535,Tie Down And Trim The Tarsal Sutures. Tie Down The Marginal Silk Suture Leaving Long Tails.,Entity,,[3],Medication extracted from treatment lists,,tie down and trim the tarsal sutures. tie down the marginal silk suture leaving long tails.,,"[""Procedure Steps""]",,,medication,,
treatment_536,Timolol,Entity,,"[3, 8, 9, 11, 13]",Medication extracted from treatment lists,,timolol,,"[""Treatment""]",,,medication,,
treatment_537,Tobramycin,Entity,,"[3, 4, 5, 6, 8, 9, 12]",Medication extracted from treatment lists,,tobramycin,,"[""Treatment""]",,,medication,,
treatment_538,Topical Antibiotic,Entity,,[4],Medication extracted from treatment lists,,topical antibiotic,,"[""Epithelial Keratitis"", ""Neurotrophic Ulcer"", ""Small Subepithelial Infiltrates, Corneal Abrasion, or Diffuse SPK""]",,,medication,,
treatment_539,Topical Antiviral Medications For Corneal Dendrites And Geographic Ulcers Should Not Be Continued For Greater Than,Entity,,[4],Medication extracted from treatment lists,,topical antiviral medications for corneal dendrites and geographic ulcers should not be continued for greater than,,"[""Follow Up""]",,,medication,,
treatment_540,Topical Beta-Blocker,Entity,,[13],Medication extracted from treatment lists,,topical beta-blocker,,"[""Unknown""]",,,medication,,
treatment_541,"Topical Biologic Fluids Including Autologous Serum Tears, Platelet-Rich Plasma, Umbilical Cord Serum, And Amniotic Membrane Suspensions May Be Useful To Promote Epithelialization.",Entity,,[3],Medication extracted from treatment lists,,"topical biologic fluids including autologous serum tears, platelet-rich plasma, umbilical cord serum, and amniotic membrane suspensions may be useful to promote epithelialization.",,"[""Unknown""]",,,medication,,
treatment_542,Topical Carbonic Anhydrase Inhibitors,Entity,,[9],Medication extracted from treatment lists,,topical carbonic anhydrase inhibitors,,"[""Medications""]",,,medication,,
treatment_543,Topical Cyclosporine,Entity,,[4],Medication extracted from treatment lists,,topical cyclosporine,,"[""Endothelial Rejection (Endothelial Rejection Line, Corneal Edema, and/or Keratic Precipitates)""]",,,medication,,
treatment_544,Topical Drug Toxicity,Entity,,[4],Medication extracted from treatment lists,,topical drug toxicity,,"[""Unknown""]",,,medication,,
treatment_545,"Topical Iop-Lowering Agents Such As Beta-Blockers, Alpha-Agonists, Or Carbonic Anhydrase Inhibitors.",Entity,,[3],Medication extracted from treatment lists,,"topical iop-lowering agents such as beta-blockers, alpha-agonists, or carbonic anhydrase inhibitors.",,"[""Unknown""]",,,medication,,
treatment_546,Topical Nsaids Are Usually Not Effective In Patients With Uveitic Cme.,Entity,,[12],Medication extracted from treatment lists,,topical nsaids are usually not effective in patients with uveitic cme.,,"[""Unknown""]",,,medication,,
treatment_547,Topical Saline Lavage Q.I.D. To Remove Any Discharge.,Entity,,[8],Medication extracted from treatment lists,,topical saline lavage q.i.d. to remove any discharge.,,"[""Unknown""]",,,medication,,
treatment_548,Topical Steroid,Entity,,[13],Medication extracted from treatment lists,,topical steroid,,"[""Unknown""]",,,medication,,
treatment_549,Topical Steroids,Entity,,[4],Medication extracted from treatment lists,,topical steroids,,"[""Endothelial Rejection (Endothelial Rejection Line, Corneal Edema, and/or Keratic Precipitates)""]",,,medication,,
treatment_550,Topical Steroids And Antibiotics Are Maintained For,Entity,,[13],Medication extracted from treatment lists,,topical steroids and antibiotics are maintained for,,"[""Follow Up""]",,,medication,,
treatment_551,Topical Steroids Are Contraindicated In Those With Infectious Epithelial Disease.,Entity,,[4],Medication extracted from treatment lists,,topical steroids are contraindicated in those with infectious epithelial disease.,,"[""Unknown""]",,,medication,,
treatment_552,Topical Steroids Used For Corneal Stromal Disease Are Tapered Slowly,Entity,,[4],Medication extracted from treatment lists,,topical steroids used for corneal stromal disease are tapered slowly,,"[""Follow Up""]",,,medication,,
treatment_553,Topiramate- Or Sulfonamide-Induced Secondary Angle Closure: Do Not Use Cais In Sulfonamide-Induced Angle Closure. Immediately Discontinue The Inciting Medication. Consider Cycloplegia To Induce Posterior Rotation Of The Ciliary Body,Entity,,[9],Medication extracted from treatment lists,,topiramate- or sulfonamide-induced secondary angle closure: do not use cais in sulfonamide-induced angle closure. immediately discontinue the inciting medication. consider cycloplegia to induce posterior rotation of the ciliary body,,"[""Unknown""]",,,medication,,
treatment_554,Toxocariasis: Typically Unilateral. Usually Occurs In Children. The Most Common Presentations Are A Macular Granuloma,Entity,,[12],Medication extracted from treatment lists,,toxocariasis: typically unilateral. usually occurs in children. the most common presentations are a macular granuloma,,"[""White Dot Syndromes""]",,,medication,,
treatment_555,Toxoplasmosis: Unilateral Retinal Lesion May Or May Not Be Associated With An Adjacent Pigmented Chorioretinal Scar Or Clumps Of Scars. Focal Dense Vitritis Over An Area Of White Retinitis Constitutes The “Headlight In A Fog” Morphology. See,Entity,,[12],Medication extracted from treatment lists,,toxoplasmosis: unilateral retinal lesion may or may not be associated with an adjacent pigmented chorioretinal scar or clumps of scars. focal dense vitritis over an area of white retinitis constitutes the “headlight in a fog” morphology. see,,"[""Retinitis""]",,,medication,,
treatment_556,"Transit Times Between Injection And Appearance Of Dye In The Choroid, Retinal Arteries, And Veins Also Can Be Used To Evaluate Vascular Flow. Arm To Retina Time Is Less Accurate Than Intraretinal Circulation Times.",Entity,,[14],Medication extracted from treatment lists,,"transit times between injection and appearance of dye in the choroid, retinal arteries, and veins also can be used to evaluate vascular flow. arm to retina time is less accurate than intraretinal circulation times.",,"[""Uses in Ophthalmology""]",,,medication,,
treatment_557,"Trauma: Spk Can Occur From Relatively Mild Trauma, Such As Chronic Eye Rubbing.",Entity,,[4],Medication extracted from treatment lists,,"trauma: spk can occur from relatively mild trauma, such as chronic eye rubbing.",,"[""Unknown""]",,,medication,,
treatment_558,"Treat As Described For Mild, But Add A Low-Dose Topical Steroid",Entity,,[4],Medication extracted from treatment lists,,"treat as described for mild, but add a low-dose topical steroid",,"[""Moderate to Severe""]",,,medication,,
treatment_559,Treat As Indicated For Corneal Abrasion,Entity,,[3],Medication extracted from treatment lists,,treat as indicated for corneal abrasion,,"[""Corneal Foreign Body (Superficial or Partial Thickness)""]",,,medication,,
treatment_560,Treat Secondary Glaucoma. See,Entity,,[10],Medication extracted from treatment lists,,treat secondary glaucoma. see,,"[""Cavernous Sinus Thrombosis""]",,,medication,,
treatment_561,Treat The Underlying Medical Condition,Entity,,[10],Medication extracted from treatment lists,,treat the underlying medical condition,,"[""Zygomycosis (Mucormycosis)""]",,,medication,,
treatment_562,Treatment Should Last At Least,Entity,,[10],Medication extracted from treatment lists,,treatment should last at least,,"[""Follow Up""]",,,medication,,
treatment_563,Triamcinolone,Entity,,"[5, 6, 7, 11, 12]",Medication extracted from treatment lists,,triamcinolone,,"[""Treatment""]",,,medication,,
treatment_564,Trichiasis/Distichiasis: One Or More Eyelashes Rubbing Against The Cornea,Entity,,[4],Medication extracted from treatment lists,,trichiasis/distichiasis: one or more eyelashes rubbing against the cornea,,"[""Unknown""]",,,medication,,
treatment_565,"Trichiasis: Repeated Epilation, Electrolysis, Cryotherapy, Or Surgical Repair.",Entity,,[13],Medication extracted from treatment lists,,"trichiasis: repeated epilation, electrolysis, cryotherapy, or surgical repair.",,"[""Follow Up""]",,,medication,,
treatment_566,Trimethoprim,Entity,,"[3, 5, 6, 7, 8, 12]",Medication extracted from treatment lists,,trimethoprim,,"[""Treatment""]",,,medication,,
treatment_567,Trimethoprim/Sulfamethoxazole,Entity,,[12],Medication extracted from treatment lists,,trimethoprim/sulfamethoxazole,,"[""Unknown""]",,,medication,,
treatment_568,Tropicamide,Entity,,"[8, 9]",Medication extracted from treatment lists,,tropicamide,,"[""Treatment"", ""Workup""]",,,medication,,
treatment_569,"Tuberculosis: Refer The Patient To An Internist, Infectious Disease Specialist, Or Public Health Officer For Consideration Of Systemic Treatment. Patients With Ocular Tb Frequently Have No Pulmonary Disease But Still Require Systemic Four-Drug Antituberculous Therapy. Concomitant Oral Steroids Or Methotrexate May Be Necessary.",Entity,,[12],Medication extracted from treatment lists,,"tuberculosis: refer the patient to an internist, infectious disease specialist, or public health officer for consideration of systemic treatment. patients with ocular tb frequently have no pulmonary disease but still require systemic four-drug antituberculous therapy. concomitant oral steroids or methotrexate may be necessary.",,"[""Unknown""]",,,medication,,
treatment_570,"Typically, Gonioscopy Is Performed Annually Or More Often As Needed To Assess Angle Anatomy.",Entity,,[9],Medication extracted from treatment lists,,"typically, gonioscopy is performed annually or more often as needed to assess angle anatomy.",,"[""Follow Up""]",,,medication,,
treatment_571,Ugh Syndrome: Irritation Of The Iris Or Ciliary Body By An Iol. Increased Iop And Red Blood Cells In The Anterior Chamber Accompany The Anterior Segment Inflammation. See,Entity,,[12],Medication extracted from treatment lists,,ugh syndrome: irritation of the iris or ciliary body by an iol. increased iop and red blood cells in the anterior chamber accompany the anterior segment inflammation. see,,"[""Unknown""]",,,medication,,
treatment_572,Ugh Syndrome: See,Entity,,[12],Medication extracted from treatment lists,,ugh syndrome: see,,"[""Unknown""]",,,medication,,
treatment_573,"Under The Direction Of An Internist Or Infectious Disease Specialist, Haart Should Be Initiated Or Optimized; Immune Recovery With Sustained Cd",Entity,,[12],Medication extracted from treatment lists,,"under the direction of an internist or infectious disease specialist, haart should be initiated or optimized; immune recovery with sustained cd",,"[""Unknown""]",,,medication,,
treatment_574,Unilateral Exposure To A Miotic Agent,Entity,,[10],Medication extracted from treatment lists,,unilateral exposure to a miotic agent,,"[""Classification""]",,,medication,,
treatment_575,Unilateral Exposure To A Mydriatic Agent: Cycloplegic Drops,Entity,,[10],Medication extracted from treatment lists,,unilateral exposure to a mydriatic agent: cycloplegic drops,,"[""Classification"", ""Unknown""]",,,medication,,
treatment_576,Unreliable Patients Or Those With An Unclear Etiology Should Not Have A Bandage Soft Contact Lens Placed. Such Patients Should Be Reexamined In,Entity,,[4],Medication extracted from treatment lists,,unreliable patients or those with an unclear etiology should not have a bandage soft contact lens placed. such patients should be reexamined in,,"[""Follow Up""]",,,medication,,
treatment_577,Use Interrupted,Entity,,[3],Medication extracted from treatment lists,,use interrupted,,"[""Procedure Steps""]",,,medication,,
treatment_578,Use Preservative-Free Artificial Tears And Lubricating Ointment.,Entity,,[4],Medication extracted from treatment lists,,use preservative-free artificial tears and lubricating ointment.,,"[""Limbal Stem Cell Deficiency""]",,,medication,,
treatment_579,"Used To Image Retinal, Choroidal, Optic Disc, Iris Vasculature, Or A Combination Of These. It Is Used For Diagnosis And Therapeutic Planning",Entity,,[14],Medication extracted from treatment lists,,"used to image retinal, choroidal, optic disc, iris vasculature, or a combination of these. it is used for diagnosis and therapeutic planning",,"[""Uses in Ophthalmology""]",,,medication,,
treatment_580,Uveitis,Entity,,[4],Medication extracted from treatment lists,,uveitis,,"[""Ocular Involvement""]",,,medication,,
treatment_581,Uveitis: Anterior Chamber Or Vitreous White Blood Cells. Corneal Opacification May Obscure The View Of An Inflammatory Reaction.,Entity,,[13],Medication extracted from treatment lists,,uveitis: anterior chamber or vitreous white blood cells. corneal opacification may obscure the view of an inflammatory reaction.,,"[""Causes of Pain""]",,,medication,,
treatment_582,Valacyclovir,Entity,,"[9, 12]",Medication extracted from treatment lists,,valacyclovir,,"[""Treatment""]",,,medication,,
treatment_583,"Valacyclovir Has Greater Bioavailability Than Acyclovir. Little Has Been Published On Famciclovir For Hsv, But It May Be Better Tolerated In Patients Who Have Side Effects To Acyclovir Such As Headache, Fatigue, Or Gastrointestinal Upset.",Entity,,[4],Medication extracted from treatment lists,,"valacyclovir has greater bioavailability than acyclovir. little has been published on famciclovir for hsv, but it may be better tolerated in patients who have side effects to acyclovir such as headache, fatigue, or gastrointestinal upset.",,"[""Unknown""]",,,medication,,
treatment_584,Valacyclovir Should Be Used With Caution In Patients With Human Immunodeficiency Virus Due To Reports Of Thrombocytopenic Purpura And Hemolytic Uremic Syndrome In This Population.,Entity,,[4],Medication extracted from treatment lists,,valacyclovir should be used with caution in patients with human immunodeficiency virus due to reports of thrombocytopenic purpura and hemolytic uremic syndrome in this population.,,"[""Unknown""]",,,medication,,
treatment_585,Vancomycin,Entity,,"[3, 6, 7, 9, 12]",Medication extracted from treatment lists,,vancomycin,,"[""Treatment"", ""Workup/Treatment""]",,,medication,,
treatment_586,Vancomycin:,Entity,,[6],Medication extracted from treatment lists,,vancomycin:,,"[""Unknown""]",,,medication,,
treatment_587,"Venous Phase: Arteriovenous Transit Time Is The Time From The First Appearance Of Dye Within The Retinal Arteries Of The Temporal Arcade Until The Corresponding Veins Are Completely Filled, Normally <",Entity,,[14],Medication extracted from treatment lists,,"venous phase: arteriovenous transit time is the time from the first appearance of dye within the retinal arteries of the temporal arcade until the corresponding veins are completely filled, normally <",,"[""Phases of the Intravenous Fluorescein Angiography""]",,,medication,,
treatment_588,Viral: Frequently Multiple Pedunculated Or Sessile Lesions In Children And Young Adults. May Occur On The Palpebral Or Bulbar Conjunctiva. They Are Benign And Are Usually Left Untreated Because Of Their High Recurrence Rate,Entity,,[5],Medication extracted from treatment lists,,viral: frequently multiple pedunculated or sessile lesions in children and young adults. may occur on the palpebral or bulbar conjunctiva. they are benign and are usually left untreated because of their high recurrence rate,,"[""Papilloma""]",,,medication,,
treatment_589,Visual Acuity And Evaluation Of Optic Nerve Function.,Entity,,[7],Medication extracted from treatment lists,,visual acuity and evaluation of optic nerve function.,,"[""Follow Up""]",,,medication,,
treatment_590,"Visual Fields: Characteristic Visual Field Loss Patterns Include Nasal Step, Paracentral Scotoma, Arcuate Scotoma Extending From The Blind Spot Nasally",Entity,,[9],Medication extracted from treatment lists,,"visual fields: characteristic visual field loss patterns include nasal step, paracentral scotoma, arcuate scotoma extending from the blind spot nasally",,"[""Unknown""]",,,medication,,
treatment_591,Voriconazole,Entity,,"[4, 12]",Medication extracted from treatment lists,,voriconazole,,"[""Treatment"", ""Workup""]",,,medication,,
treatment_592,Warm Compresses To Periocular Skin T.I.D.,Entity,,[4],Medication extracted from treatment lists,,warm compresses to periocular skin t.i.d.,,"[""Skin Involvement""]",,,medication,,
treatment_593,Watch For Stromal Or Neurotrophic Keratitis Approximately,Entity,,[4],Medication extracted from treatment lists,,watch for stromal or neurotrophic keratitis approximately,,"[""Follow Up""]",,,medication,,
treatment_594,Weekly Treatment With Enzyme Tablets,Entity,,[4],Medication extracted from treatment lists,,weekly treatment with enzyme tablets,,"[""Follow Up""]",,,medication,,
treatment_595,While Oral Antivirals,Entity,,[4],Medication extracted from treatment lists,,while oral antivirals,,"[""Unknown""]",,,medication,,
treatment_596,Window Or Transmission Defect: Focal Area Of Hyperfluorescence Without Leakage Usually Due To Rpe Atrophy That Appears Early And Stays Stable In Brightness,Entity,,[14],Medication extracted from treatment lists,,window or transmission defect: focal area of hyperfluorescence without leakage usually due to rpe atrophy that appears early and stays stable in brightness,,"[""Hyperfluorescence""]",,,medication,,
treatment_597,Wipe A Cellulose Sponge Or Cotton Swab Saturated With The Edta Solution Over The Band Keratopathy Until The Calcium Clears,Entity,,[4],Medication extracted from treatment lists,,wipe a cellulose sponge or cotton swab saturated with the edta solution over the band keratopathy until the calcium clears,,"[""Severe (e.g., Obstruction of Vision, Irritation Not Relieved by Lubricants, Cosmetic Problem)""]",,,medication,,
treatment_598,"With A Negative Mri, The Risk Of Ms Is Low,",Entity,,[10],Medication extracted from treatment lists,,"with a negative mri, the risk of ms is low,",,"[""Typical Optic Neuritis""]",,,medication,,
treatment_599,Younger Than,Entity,,[10],Medication extracted from treatment lists,,younger than,,"[""Adults""]",,,medication,,
treatment_600,"Zone I: Posterior Pole: Twice The Disc–Fovea Distance, Centered Around The Disc",Entity,,[8],Medication extracted from treatment lists,,"zone i: posterior pole: twice the disc–fovea distance, centered around the disc",,"[""Location""]",,,medication,,
treatment_601,Zone Ii: From Zone I To The Nasal Ora Serrata; Temporally Equidistant From The Disc. Note: Rop Should Not Be Considered Zone Iii Until One Is Sure The Nasal Side Is Vascularized To The Ora Serrata. Zone Iii: The Remaining Temporal Periphery.,Entity,,[8],Medication extracted from treatment lists,,zone ii: from zone i to the nasal ora serrata; temporally equidistant from the disc. note: rop should not be considered zone iii until one is sure the nasal side is vascularized to the ora serrata. zone iii: the remaining temporal periphery.,,"[""Location""]",,,medication,,
treatment_602,Zone Iii: The Remaining Temporal Periphery.,Entity,,[8],Medication extracted from treatment lists,,zone iii: the remaining temporal periphery.,,"[""Location""]",,,medication,,
treatment_603,"A Careful Fundus Evaluation Is Performed At Each Visit To Rule Out Retinal Holes That May Lead To A Detachment. If Barrier Laser Demarcation Has Been Done And The Retinitis Subsequently Crosses The Posterior Margin, Consider Applying Additional Laser Therapy.",Entity,,[12],Procedure extracted from procedure lists,,"a careful fundus evaluation is performed at each visit to rule out retinal holes that may lead to a detachment. if barrier laser demarcation has been done and the retinitis subsequently crosses the posterior margin, consider applying additional laser therapy.",,"[""Follow Up""]",,,procedure,,
treatment_604,A Neurosurgical Shunt,Entity,,[10],Procedure extracted from procedure lists,,a neurosurgical shunt,,"[""Unknown""]",,,procedure,,
treatment_605,A Standardized A-Scan Probe Calibrated On An S Curve Can Be Used For Diagnostic Identification Of The Echogenicity Characteristics Of Masses In The Globe Or Orbit.,Entity,,[14],Procedure extracted from procedure lists,,a standardized a-scan probe calibrated on an s curve can be used for diagnostic identification of the echogenicity characteristics of masses in the globe or orbit.,,"[""Uses in Ophthalmology""]",,,procedure,,
treatment_606,A-Scan,Entity,,[8],Procedure extracted from treatment lists,,a-scan,,"[""Workup""]",,,procedure,,
treatment_607,Accommodative Esotropia,Entity,,[8],Procedure extracted from procedure lists,,accommodative esotropia,,"[""Comitant Esotropic Deviations""]",,,procedure,,
treatment_608,Acquired Nonaccommodative Esotropia,Entity,,[8],Procedure extracted from procedure lists,,acquired nonaccommodative esotropia,,"[""Comitant Esotropic Deviations""]",,,procedure,,
treatment_609,Acute,Entity,,[6],Procedure extracted from procedure lists,,acute,,"[""Follow Up""]",,,procedure,,
treatment_610,"Acute-Phase Rop Screening Can Be Discontinued When Any Of The Following Signs Is Present, Indicating That The Risk Of Visual Loss From Rop Is Minimal Or Passed",Entity,,[8],Procedure extracted from procedure lists,,"acute-phase rop screening can be discontinued when any of the following signs is present, indicating that the risk of visual loss from rop is minimal or passed",,"[""Follow Up""]",,,procedure,,
treatment_611,Additional Muscle Surgery May Be Considered.,Entity,,[8],Procedure extracted from procedure lists,,additional muscle surgery may be considered.,,"[""Unknown""]",,,procedure,,
treatment_612,"After Endothelial Keratoplasty, Air Or Gas Can Migrate Behind Iris And Cause Pupillary Block.",Entity,,[9],Procedure extracted from procedure lists,,"after endothelial keratoplasty, air or gas can migrate behind iris and cause pupillary block.",,"[""Early Postoperative Period (Within 2\u00a0Weeks)""]",,,procedure,,
treatment_613,"After Surgery, Patients Should Be Monitored For Undercorrection Or Overcorrection And Recurrence. Exposure Keratopathy May Be A Significant Problem After Ptosis Surgery.",Entity,,[8],Procedure extracted from procedure lists,,"after surgery, patients should be monitored for undercorrection or overcorrection and recurrence. exposure keratopathy may be a significant problem after ptosis surgery.",,"[""Follow Up""]",,,procedure,,
treatment_614,All Patients With Low Vision In One Eye Need To Wear Protective Polycarbonate Lens Glasses At All Times.,Entity,,[8],Procedure extracted from procedure lists,,all patients with low vision in one eye need to wear protective polycarbonate lens glasses at all times.,,"[""Unknown""]",,,procedure,,
treatment_615,Alt,Entity,,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",Procedure extracted from treatment lists,,alt,,"[""Other Treatment Modalities"", ""Treatment"", ""Treatment and Follow Up"", ""Workup""]",,,procedure,,
treatment_616,"Amblyopia Is Less Likely To Develop In Older Children Even If The Cataract Progresses. Therefore, This Age Group Is Followed Less Frequently.",Entity,,[8],Procedure extracted from procedure lists,,"amblyopia is less likely to develop in older children even if the cataract progresses. therefore, this age group is followed less frequently.",,"[""Follow Up""]",,,procedure,,
treatment_617,Amblyopia Treatment.,Entity,,[8],Procedure extracted from procedure lists,,amblyopia treatment.,,"[""Unknown""]",,,procedure,,
treatment_618,Angle Closure After Scleral Buckling Procedure.,Entity,,[9],Procedure extracted from procedure lists,,angle closure after scleral buckling procedure.,,"[""Early Postoperative Period (Within 2\u00a0Weeks)""]",,,procedure,,
treatment_619,Anterior Chamber Lens With Vitreous Loss,Entity,,[9],Procedure extracted from procedure lists,,anterior chamber lens with vitreous loss,,"[""Early Postoperative Period (Within 2\u00a0Weeks)""]",,,procedure,,
treatment_620,Anterior Chamber Tap,Entity,,"[9, 12]",Procedure extracted from treatment lists,,anterior chamber tap,,"[""Workup""]",,,procedure,,
treatment_621,Apmppe,Entity,,[12],Procedure extracted from procedure lists,,apmppe,,"[""Unknown""]",,,procedure,,
treatment_622,Aponeurotic,Entity,,[6],Procedure extracted from procedure lists,,aponeurotic,,"[""Unknown""]",,,procedure,,
treatment_623,Aqueous Misdirection Syndrome,Entity,,[9],Procedure extracted from procedure lists,,aqueous misdirection syndrome,,"[""Early Postoperative Period (Within 2\u00a0Weeks)""]",,,procedure,,
treatment_624,Aqueous Misdirection/Malignant Glaucoma,Entity,,[9],Procedure extracted from procedure lists,,aqueous misdirection/malignant glaucoma,,"[""Unknown""]",,,procedure,,
treatment_625,Argon Laser Of The Ciliary Processes.,Entity,,[9],Procedure extracted from procedure lists,,argon laser of the ciliary processes.,,"[""Unknown""]",,,procedure,,
treatment_626,Asymptomatic Or Stable Refractive Error,Entity,,[13],Procedure extracted from procedure lists,,asymptomatic or stable refractive error,,"[""Unknown""]",,,procedure,,
treatment_627,Attempt To Identify And Correct The Cause Of Poor Vision.,Entity,,[8],Procedure extracted from procedure lists,,attempt to identify and correct the cause of poor vision.,,"[""Unknown""]",,,procedure,,
treatment_628,B-Scan,Entity,,"[3, 5, 7, 8, 9, 11, 12, 13]",Procedure extracted from treatment lists,,b-scan,,"[""Treatment"", ""Workup"", ""Workup and Treatment"", ""Workup/Treatment""]",,,procedure,,
treatment_629,Basic,Entity,,[8],Procedure extracted from procedure lists,,basic,,"[""Types""]",,,procedure,,
treatment_630,"Be Careful To Avoid Deeper, Buried Subcutaneous Sutures That Can Incorporate The Orbital Septum, Resulting In Eyelid Tethering. In General, Deep Sutures Should Be Avoided In The Zone Between The Tarsus And Orbital Rim",Entity,,[3],Procedure extracted from procedure lists,,"be careful to avoid deeper, buried subcutaneous sutures that can incorporate the orbital septum, resulting in eyelid tethering. in general, deep sutures should be avoided in the zone between the tarsus and orbital rim",,"[""Key Points""]",,,procedure,,
treatment_631,Behçet Disease,Entity,,[12],Procedure extracted from procedure lists,,behçet disease,,"[""Panuveitis""]",,,procedure,,
treatment_632,Biopsy,Entity,,"[4, 5, 6, 7, 10, 12, 13]",Procedure extracted from treatment lists,,biopsy,,"[""Treatment"", ""Workup""]",,,procedure,,
treatment_633,Brown Syndrome,Entity,,[8],Procedure extracted from procedure lists,,brown syndrome,,"[""Syndromes""]",,,procedure,,
treatment_634,Cap Microstriae.,Entity,,[4],Procedure extracted from procedure lists,,cap microstriae.,,"[""Early""]",,,procedure,,
treatment_635,Cat-Scratch Disease,Entity,,[12],Procedure extracted from procedure lists,,cat-scratch disease,,"[""Other Infectious Causes of Posterior Uveitis""]",,,procedure,,
treatment_636,Cataract Extraction,Entity,,"[8, 9, 12, 13]",Procedure extracted from treatment lists,,cataract extraction,,"[""Treatment"", ""Workup""]",,,procedure,,
treatment_637,"Cataract Removal And Retrolental Stalk Resection, With Posterior Vitrectomy Depending On Extent Of Posterior Involvement.",Entity,,[8],Procedure extracted from procedure lists,,"cataract removal and retrolental stalk resection, with posterior vitrectomy depending on extent of posterior involvement.",,"[""Unknown""]",,,procedure,,
treatment_638,Central Nervous System Pathology Causing Increased Intracranial Pressure,Entity,,[8],Procedure extracted from procedure lists,,central nervous system pathology causing increased intracranial pressure,,"[""Incomitant or Noncomitant Esodeviations""]",,,procedure,,
treatment_639,Central Toxic Keratopathy,Entity,,[4],Procedure extracted from procedure lists,,central toxic keratopathy,,"[""Early""]",,,procedure,,
treatment_640,"Check Blood Pressure, Fasting Blood Sugar, Hemoglobin A1C, Lipid Panel, And Cbc",Entity,,[9],Procedure extracted from procedure lists,,"check blood pressure, fasting blood sugar, hemoglobin a1c, lipid panel, and cbc",,"[""Unknown""]",,,procedure,,
treatment_641,"Children Who Have Had Rop Have A Higher Incidence Of Myopia, Strabismus, Amblyopia, Macular Dragging, Cataracts, Glaucoma, And Retinal Detachment. An Untreated Fully Vascularized Fundus Needs Examination At Age 6 Months To Rule Out These Complications. Note",Entity,,[8],Procedure extracted from procedure lists,,"children who have had rop have a higher incidence of myopia, strabismus, amblyopia, macular dragging, cataracts, glaucoma, and retinal detachment. an untreated fully vascularized fundus needs examination at age 6 months to rule out these complications. note",,"[""Follow Up""]",,,procedure,,
treatment_642,Chronic,Entity,,[6],Procedure extracted from procedure lists,,chronic,,"[""Follow Up""]",,,procedure,,
treatment_643,Chronic Dme Not Responsive To Other Treatment.,Entity,,[11],Procedure extracted from procedure lists,,chronic dme not responsive to other treatment.,,"[""Indications for Vitrectomy""]",,,procedure,,
treatment_644,Clinical Evaluation,Entity,,[8],Procedure extracted from procedure lists,,clinical evaluation,,"[""Types""]",,,procedure,,
treatment_645,"Color Vision Loss, Especially In The Red–Green Axis. If Any Of These Are Present, Further Evaluation May Include",Entity,,[9],Procedure extracted from procedure lists,,"color vision loss, especially in the red–green axis. if any of these are present, further evaluation may include",,"[""Unknown""]",,,procedure,,
